# spec: spec.md
# sha256: 47d0d4b9854969bef09dafd610ced56d22c3cc36a8b26975fd3e283008c0020a
# generated: 2026-08-31
term	subject	defined_in	note
the ten ranges	laser-code-bands	6. Laser and infrared spots	The AH-64D cockpit's code-range list. A display table, not a validator.
spot lifetime	spot-lifetime	6. Laser and infrared spots	A spot outlives the destruction of its source unit — code, point and category all still answer, and setPoint still moves the beam. The driver must detect that itself.
the crasher register	crasher-bindings	8. Bindings that must not ship unguarded	The five mission-scripting bindings that terminate the process despite pcall. SPEC 4.2 holds the full register, which also carries an unattributed sixth and a hook-state seventh.
getDescByName family	getdescbyname-family	8. Bindings that must not ship unguarded	Four static members on SceneryObject, Unit, StaticObject and Airbase. The three usable ones are one lookup under three names and ignore the class called on; only the SceneryObject member crashes.
unsafe_bindings_enabled	crasher-gate	UNDEFINED	SPEC 13.1 key, default false, gating a handler that reaches a crasher-register binding.
required guard	guard-provenance	9. Required guards	A defensive check against a binding that answers with something unexpected rather than raising, which no blacklist probe finds. Binds any handler in this state, not only the built-ins.
record class	class-capability-policy	11. Classes and capabilities	SPEC 8.1 transport drop policy. Built-in records are DURABLE or COMMAND; none is LIFECYCLE.
required capability	class-capability-policy	11. Classes and capabilities	SPEC 14.4 per-topic gate. The built-ins use read and command, and define none of their own.
records mirror DCS	records-mirror-dcs	10. Record-set philosophy	Built-in records forward S_EVENT_* payloads as DCS defines them, with no smoothed abstractions.
SPEC	cross-reference	1. What the built-ins are	The DCS-Bridge core specification: the broker, both driver runtimes, the interfaces and the broker.
HOOK	cross-reference	1. What the built-ins are	The hook driver's built-ins, the other half of what ships in the box.
DCS-Bridge	cross-reference	1. What the built-ins are	The product: a broker, two drivers into DCS, and a generator that writes the code between them.
broker	cross-reference	UNDEFINED	The Rust DLL. Moves records and knows nothing about DCS. SPEC 1.1 and 5.2.
record	record	UNDEFINED	Defined in the core specification's preamble.
consumer	consumer	UNDEFINED	Defined in the core specification's preamble.
epoch	epoch	UNDEFINED	Defined in the core specification's preamble; SPEC 9.4.
EpochOpened	epoch	UNDEFINED	DCS-Bridge-owned lifecycle record, SPEC 6.3. Seven fields, emitted before the sim driver loads. No built-in adds to it.
EpochClosed	epoch	UNDEFINED	DCS-Bridge-owned lifecycle record, SPEC 6.3 and 9.4. Voids every spot and unit handle.
CommandAck	commandack	UNDEFINED	SPEC 8.5.3. The answer to a command with no typed reply, and the failure channel for one with a reply.
reply_to	commandack	UNDEFINED	SPEC 8.2 message option naming a request message's typed reply.
subscription	subscription	UNDEFINED	SPEC 6.7. A locally evaluated predicate and the record it emits.
PROBE-An	open-questions	13. Open questions	This document's probe register, numbered from A1 to stay clear of SPEC 16's PROBE-n. A retired number is not reused; nothing is open on the sim side.
