# spec: spec.md
# sha256: 783dbd696c816cc3df12d18e97efc902c386cc0ad3c3221bc27f91e7dfd4b838
# generated: 2026-08-31
subject	kind	status	claim	section	anchor
event-dispatch	dependency		world.onEvent iterates world.eventHandlers with pairs and calls each handler bare, with no pcall.	4.1 ED's event dispatch has no `pcall`	`Scripts\World\EventHandlers.lua` is the whole implementation. `world.onEvent`
event-dispatch	constraint		Never call world.addEventHandler from inside an event handler, because registration during a next traversal is undefined.	4.1 ED's event dispatch has no `pcall`	- **Never call `world.addEventHandler` from inside an event handler.** Lua 5.1
crasher-bindings	dependency		Six mission-scripting functions terminate the process despite pcall; five are named.	4.2 `pcall` does not contain every fault	Six functions on the mission-scripting surface terminate the process with an
binding-probe	behavior		The sim driver probes bindings once at startup and blacklists what raises.	4.2 `pcall` does not contain every fault	- Probe once at startup and blacklist what raises.
dcs-namespace	constraint		DCS.* calls are made one at a time and never batched, because batching crashed in ED_lua_copyindex.	4.3 Never batch `DCS.*` calls	- Call `DCS.*` functions one at a time, each guarded.
dcs-namespace	dependency		ED is replacing the DCS namespace with Sim and both names are the same table today.	4.4 A confirmed platform migration	Eagle Dynamics is replacing the `DCS.` function namespace with `Sim.`. This is
dcs-namespace	constraint		Write DCS.* today and route every call through one accessor table in the hook.	4.4 A confirmed platform migration	**Write `DCS.*` today.** The runtime global in a hook is `DCS`, and ED's
interface-a	interface		Interface A is the put-call surface the broker exposes to Lua.	5.1 Interface A — broker to Lua	### 5.1 Interface A — broker to Lua
interface-a	interface		A record opens with begin, carries typed put calls, and closes with commit.	5.1 Interface A — broker to Lua	shim.commit()              -- close the record and queue it
point-to-point	behavior		A record opened with begin_to goes to one connection and no other.	5.1 Interface A — broker to Lua	**Point-to-point records.** A record opened with `begin_to` goes to one
connection-id	constraint		Connection ids are unique for the DCS process lifetime and never reused.	5.1 Interface A — broker to Lua	connection ids, unique for the life of the DCS process and never reused, so a
integer-range	constraint		Lua 5.1 represents integers exactly only to 2^53, so wider values travel as strings.	5.1 Interface A — broker to Lua	**Integer range.** `shim.integer` accepts a signed 64-bit value. Lua 5.1
configure	behavior		The hook calls configure before any other Interface A call, and the broker errors on an earlier begin or poll.	5.1 Interface A — broker to Lua	**`configure` comes first.** The hook driver calls it once before any other
registration	behavior		classes, routes and caps are additive; an identical re-registration is a no-op and a conflicting one is refused whole.	5.1 Interface A — broker to Lua	**`classes`, `routes` and `caps` are additive over disjoint topic sets.** Two
registration	constraint		The route table is deliberately a subset: it carries inbound topics only.	5.1 Interface A — broker to Lua	**The three tables do not cover the same topic set, and that is deliberate.**
registration	constraint		A topic missing a class or a capability fails closed and is refused in both directions.	5.1 Interface A — broker to Lua	**A topic missing a class or a capability is refused, not defaulted.** The
config-apply	constraint		An invariant is checked where both its keys are visible, so the sim-driver-tier pair is checked by the hook.	13.2 Applying a configuration change	**An invariant is checked where both its keys are visible.** `configure`
schema-handoff	behavior		The hook hands the compiled schema bytes to the broker once and a second call is refused.	5.1 Interface A — broker to Lua	**`schema.pb` crosses once.** After the first `configure`, the hook driver
config-parsing	constraint		The broker reads no file and parses no Lua; the hook parses the config and hands over a table.	5.1 Interface A — broker to Lua	**The broker reads no file and parses no Lua.** The hook driver reads
raw-bytes-put	constraint		There is no raw-bytes put, so the broker remains the only encoder.	5.1 Interface A — broker to Lua	**There is no raw-bytes put.** Every record crosses as typed put calls, so the
veto-callbacks	dependency		The onPlayerTry callbacks run on the logic thread, so no off-thread call is needed.	4. Code rules	- **The `onPlayerTry*` callbacks run on the logic thread** (measured,
module-loading	behavior		The broker loads by explicit path with package.loadlib, never with require.	5.1.1 Loading the broker	`package.loadlib` is the Lua 5.1 spelling and is present in the hook state. The
module-loading	dependency		UserHooks.lua ships package.cpath commented out and that line is install-relative anyway.	5.1.1 Loading the broker	**Enabling the commented `package.cpath` line would not find this DLL.** That
mods-directory	dependency		A directory under Mods with no entry.lua runs nothing; bait files under five names never executed.	5.1.1 Loading the broker	**A directory with no `entry.lua` runs nothing, measured.** Bait files under
mods-directory	dependency	UNVERIFIED	Whether anything opens such a file is unmeasured, and the plugin loader was not located.	5.1.1 Loading the broker	**The plugin loader was not located and is not in the obvious places.** The
entry-lua	constraint		The bridge ships no entry.lua, because loading by explicit path needs no plugin declaration.	5.1.1 Loading the broker	**Ship no `entry.lua`.** A directory under `Mods\` with one becomes a declared
lua-dll	dependency		DCS ships lua.dll with 130 named exports, no LuaJIT symbol, and byte-identical copies in bin and bin-mt.	5.1.1 Loading the broker	**What the broker links against.** DCS ships its own Lua in `bin\lua.dll` — not
lua-dll	dependency		The broker binds the 114 lua_ and luaL_ exports and calls no opener and no internal symbol.	5.1.1 Loading the broker	| `lua_*` and `luaL_*` | 114 | The stock public API. This is what the broker binds. |
lua-dll	dependency		lua.dll is an MSVC build importing VCRUNTIME140 and the UCRT, so memory never crosses the runtime boundary.	5.1.1 Loading the broker	**`lua.dll` is an MSVC build importing `VCRUNTIME140.dll` and the UCRT.** A
sim-driver-environment	dependency		The server state retains require, package, lfs, io and os as direct members when reached through net.dostring_in.	5.1.2 Where the sim driver writes	The `"server"` state as the sim driver sees it retains `require` on any
sim-driver-environment	dependency		The injected environment and the mission-script environment are separate and share no globals.	5.1.2 Where the sim driver writes	**The environments are separate** (measured, 2.9.29.27278, both directions,
sim-driver-environment	dependency		The two environments hold different world tables and different eventHandlers registries, and the engine dispatches to both.	5.1.2 Where the sim driver writes	The separation runs deep: the two environments hold **different `world` tables
interface-b	interface		Interface B frames each Envelope with a little-endian u32 length prefix over TCP.	5.2 Interface B — broker to consumer	**Frame format.** `[u32 length, little-endian][payload]`.
topic-id	definition		A topic is the payload's fully-qualified type name, carried as an Any type URL.	5.2 Interface B — broker to consumer	**The topic is the payload's type, and protobuf already names it.** An `Any`
topic-id	constraint		Nobody assigns a topic id; package naming prevents collision.	5.2 Interface B — broker to consumer	**Nobody assigns a topic id.** An adopter or a mission author writes a
wire-format	dependency		A wire-type mismatch on a known field is skipped for skippable types and raises for group and invalid types.	5.2 Interface B — broker to consumer	Most runtimes treat a wire-type mismatch on a known field number as an unknown
routing	behavior		The broker routes each inbound record by registered target and refuses any topic not in the route map.	5.2 Interface B — broker to consumer	reader thread and reach no ring. **The broker refuses a record whose topic id
fan-out	constraint		The logic thread writes one ring and the writer thread fans records into per-connection queues.	5.2 Interface B — broker to consumer	**The logic thread writes one ring, not N.** `commit()` appends to a single
seq	behavior		The broker assigns seq per connection, after the capability filter and before the drop decision.	5.2 Interface B — broker to consumer	**Sequence numbers.** The broker assigns `seq` per connection, monotonic, after
seq	constraint		A gap in seq means records were dropped and only dropped, because filtering happens before numbering.	5.2 Interface B — broker to consumer	`seq` means records were dropped, and only dropped: a record a connection is
rings	constraint		Every ring is allocated once at the first configure and never reallocated.	5.2 Interface B — broker to consumer	**Backpressure.** Allocate every ring once, at the first `shim.configure`, from
drop-policy	behavior		The outbound ring evicts the oldest non-LIFECYCLE record and refuses new non-LIFECYCLE records below the reserve.	5.2 Interface B — broker to consumer	**The outbound drop rule has two halves, and both are needed.**
drop-policy	behavior		A ring full of LIFECYCLE alone drops the connection rather than discarding a boundary record.	5.2 Interface B — broker to consumer	**A ring that is full of `LIFECYCLE` is a disconnect, not a drop.** If eviction
lifecycle-retention	behavior		The broker retains the latest record per LIFECYCLE topic and replays the set to each newly authenticated connection.	5.2 Interface B — broker to consumer	**LIFECYCLE retention.** The broker retains the most recent record of each
lifecycle-retention	constraint		The retained set is bounded by max_lifecycle_topics and a registration above it is refused whole.	5.2 Interface B — broker to consumer	**The retained set is bounded by `max_lifecycle_topics`.** A slot holds a
handshake	behavior		A connection proceeds handshake, then authentication, then everything else.	5.2 Interface B — broker to consumer	**Handshake and order of operations.** The connection proceeds in a fixed
handshake	constraint		The handshake discloses the protocol version, transport version, instance id and schema hash, and nothing about the mission.	5.2 Interface B — broker to consumer	**That is everything an unauthenticated peer learns.** It discloses that a
rejected	interface		Rejected is the broker's point-to-point refusal record carrying seq, topic id and a reason.	5.2 Interface B — broker to consumer	**`Rejected` is the broker's refusal record.** Like `Pong` and `Schema` it is
heartbeat	behavior		The logic thread stamps a heartbeat atomic and the reader thread reads its age to answer Ping.	5.2 Interface B — broker to consumer	**`Pong` carries DCS liveness, not broker liveness.** The broker runs its own
mission-time	behavior		The broker stamps mission time and epoch from values the hook publishes, not per record from Lua.	5.2 Interface B — broker to consumer	**Time and epoch.** Every `Envelope` carries mission time and the current
epoch-stamp	behavior		The hook publishes the epoch id with shim.epoch at each boundary and the broker stamps every record.	5.2 Interface B — broker to consumer	id the same way, once per boundary**, with `shim.epoch(id)` at
mission-time	dependency		The hook reads mission time from DCS.getModelTime because timer is absent from the hook state.	5.2 Interface B — broker to consumer	**The hook driver reads mission time from `DCS.getModelTime()`, not from
mission-time	dependency		DCS.getModelTime and timer.getTime return the same value, and model time is frame-quantised.	5.2 Interface B — broker to consumer	**The two clocks are the same clock** (measured, 2.9.29.27278, hosted
sim-driver-environment	dependency		The injected environment's missionCommands and timer surfaces work, including removeItem.	5.1.2 Where the sim driver writes	**So do its menu and timer surfaces** (measured, 2.9.29.27278, hosted
integrity	dependency		Hook scripts and registered callbacks do not taint an install; the DLL half is open.	14.8 Integrity reporting	**The pre-DLL baseline is measured and clean** (2.9.29.27278, hosted
interface-c	interface		Interface C is the hook-to-sim driver channel and uses net.dostring_in on the server state.	5.3 Interface C — hook driver to sim driver	This interface uses `net.dostring_in("server", ...)`.
interface-c	dependency		ED's shipped reference labels net.dostring_in OBSOLETE and UNSAFE.	5.3 Interface C — hook driver to sim driver	**ED marks this API obsolete.** The API reference shipped in the install,
interface-c	dependency		net.dostring_in compiles its argument every call at about 30 to 40 microseconds per KB with no chunk cache.	5.3 Interface C — hook driver to sim driver	**Cost scales with source length.** `net.dostring_in` compiles its argument on
drain-bounds	constraint		drain_max_bytes bounds the record payload and bridge_return_max_bytes bounds the escaped literal that crosses.	5.3 Interface C — hook driver to sim driver	**The two bounds measure two different representations of one crossing, and
interface-c	constraint		The hook makes at most one net.dostring_in call per frame in each direction.	5.3 Interface C — hook driver to sim driver	- Make at most one call per frame in each direction. Batch everything else.
interface-c	constraint		Every returned string is untrusted and is checked for the OK prefix before parsing.	5.3 Interface C — hook driver to sim driver	- Treat every returned string as untrusted. A chunk that raises returns its
policy-gate	dependency		net.dostring_in is gated by two autoexec.cfg keys and both must be set.	5.4 Interface C is conditional on operator policy	**Both keys, not one.** A configuration that sets `net.allow_dostring_in` and
policy-gate	dependency	UNVERIFIED	ED's shipped reference and ED's announcement give different allow_dostring_in values, and no measurement distinguishes them.	5.4 Interface C is conditional on operator policy	**The two ED sources disagree, and the shipped one is the narrower.**
policy-gate	constraint		The bridge asks for userhooks in allow_unsafe_api and both server and mission in allow_dostring_in.	5.4 Interface C is conditional on operator policy	**Ask for both because the two ED sources disagree and neither has been tested
autoexec-merge	constraint		An installer merges autoexec.cfg and unions both state lists, never replacing the file or an entry.	5.4.2 `autoexec.cfg` is a merge, not a write	- Never write `autoexec.cfg`. Merge into it.
route-a	definition		Route A injects a bootstrap chunk that dofiles the sim driver from disk through net.dostring_in.	5.4.1 Two injection routes	**Route A — bootstrap injection.** The hook driver resolves the sim driver's
route-a	constraint		The injection chunk is variable-size, carries the load-time parameters, and is refused above bridge_return_max_bytes.	5.4.1 Two injection routes	**The chunk is variable-size, and the Section 5.3 byte bound applies to it.**
route-b	definition		Route B dofiles the sim driver from MissionScripting.lua before the sanitisation block and uses net.dostring_in for nothing.	5.4.1 Two injection routes	**Route B — bootstrap.** The installer adds a `dofile` of the sim driver to
route-b	constraint		A DCS update overwrites MissionScripting.lua and the Route B edit is never reapplied.	5.4.1 Two injection routes	**The revert is silent.** The updater copies the pre-update file to
a-do-script	dependency		a_do_script is a mission trigger action and is not visible from the hook state on the measured build.	5.4.3 ED documents a replacement	`a_do_script` is a mission trigger action. It is reachable from a loaded
dcsbridge-global	definition		The sim driver claims exactly one global named DCSBridge with four slots.	6.1 One global, four slots	**The sim driver claims exactly one global, and its name is `DCSBridge`.** The
dcsbridge-global	behavior		The sim driver refuses to load on an unstamped collision and treats its own stamp as epoch leftovers.	6.1 One global, four slots	**Refuse to load on a collision.** The sim driver stamps its table with
resources-slot	constraint		DCS-owned handles are released and never discarded, because a discarded spot handle leaks a laser for the mission.	6.1 One global, four slots	**Discarding a DCS-owned handle leaks it into the world.** `Spot` has no
event-handler	constraint		One handler table is registered once and never touched again, because removeEventHandler needs the identical table.	6.2 One permanent event handler	Register one handler table, once. Never touch the registration again.
epoch-ownership	constraint		The hook owns both epoch boundaries and emits EpochOpened and EpochClosed whether or not an sim driver loads.	6.3 Lifecycle	**Epoch ownership. Boundaries belong to the hook driver. Contents belong to the
epoch-ownership	constraint		Every EpochOpened field is hook-reachable: epoch id, wall clock, model time and terrain name.	6.3 Lifecycle	Every field of `EpochOpened` is hook-driver-reachable: the epoch id it
epoch-ownership	dependency		The theatre is populated at onMissionLoadEnd across three terrains, and readable a callback earlier.	6.3 Lifecycle	**The theatre is populated at `onMissionLoadEnd`, measured across three
epoch-ownership	constraint		The theatre reads nil at onSimulationStop, so EpochClosed carries no field needing it.	6.3 Lifecycle	**The theatre is gone by `onSimulationStop`.** `DCS.getMissionTheatre()`
calibration-set	definition		CoordinateCalibration is the bridge's own LIFECYCLE record and the hook emits it.	6.3 Lifecycle	**The coordinate calibration set is the bridge's own record, and the hook
calibration-set	dependency		terrain.convertMetersToLatLon works from the hook state and agrees with coord.LOtoLL exactly.	6.3 Lifecycle	**Measured, 2.9.29.27278, Caucasus.** `terrain.convertMetersToLatLon(x, z)`
crasher-bindings	dependency	UNVERIFIED	A seventh crasher was observed in the hook state with two unattributed candidates.	4.2 `pcall` does not contain every fault	**A seventh, in the hook state, observed on 2.9.29.27278** while measuring the
sim-driver-loop	behavior		The hook drives the sim driver loop under Route A and a rescheduling timer drives it under Route B.	6.4 Bounded work model	**A frame reaches the sim driver differently on each route.** Under Route A the
sim-driver-loop	behavior		The sim driver performs seven bounded stages per frame in a fixed order.	6.4 Bounded work model	Each frame the sim driver performs, in this order:
sim-driver-loop	constraint		Work above a stage cap defers to the next frame and is never dropped or run late.	6.4 Bounded work model	13.1. **Work above a cap is deferred to the next frame, never dropped and never
sim-driver-buffer	constraint		The sim driver buffer holds at most sim_driver_buffer_max_records and drops the oldest beyond it.	6.4 Bounded work model	   It holds at most `sim_driver_buffer_max_records`, a figure chosen for
error-containment	behavior		A handler that raises is disabled for the epoch, and enough failures disable the sim driver for the epoch.	6.5 Error containment	- Each handler runs inside its own `pcall`. A handler that raises is logged and
handler-rules	constraint		A handler calls the generated send wrappers and never the emitters, nothing under DCS.*, and nothing blocking.	6.6 What a handler may call	- The generated `send` wrappers, which buffer a record for the next drain.
subscription	definition		A subscription is a locally evaluated predicate and a record emitted when it fires.	6.7 Subscriptions	A subscription is a predicate the sim driver evaluates locally and a record it
resync	behavior		Resync is a live scan and a consumer applies a resync record only where it holds no higher seq for that identity.	6.8 Resync	> Resync is a live scan. Records continue to be emitted normally throughout. A
resync	constraint		Within a frame the sim driver emits buffered events before any resync slice.	6.8 Resync	**The sim driver constraint that makes the rule work:** within a frame, the sim
resync	constraint		Every transition record must be idempotent at the consumer, because ordering covers state and not transitions.	6.8 Resync	**Ordering is sufficient for state, not for transitions.** The `seq` rule
reload	behavior		Reload replaces DCSBridge.code at a frame boundary with compile-before-execute and rollback.	6.9 Reload	Reload replaces `DCSBridge.code` on a running mission. It exists so an operator
reload	constraint		ReloadSimDriver is Route A only, because under Route B the hook has no channel to the sim driver.	6.9 Reload	**`ReloadSimDriver` is Route A only.** Under Route B no component can execute
reload	constraint		The hook cannot reload itself, because setUserCallbacks has no deregistration counterpart.	6.9 Reload	**The hook driver cannot reload itself.** `DCS.setUserCallbacks` has no
extension-model	constraint		An adopter changes behaviour by adding files and never by editing a shipped one.	6.10 The extension model	An adopter changes sim driver behaviour by adding files, never by editing a
extension-model	behavior		The runtime loads the generated file, the starter, then the operator's extension directory in name order.	6.10 The extension model	1. `SimDriver.gen.lua`. Its tables register through `shim.classes`,
registration-surface	interface		Extension files register through on, command and send, and override by key with off, replace and wrap.	6.10 The extension model	DCSBridge.code.on(key, event_id, fn)
registration-surface	constraint		A file's registrations commit when its load returns, so a conflict refuses the file whole.	6.10 The extension model	**A file's registrations commit when its load returns, not at each call.** The
registration-surface	constraint		Only the runtime touches world.addEventHandler, setUserCallbacks and missionCommands handles.	6.10 The extension model	**Only the runtime touches the platform's registration points.** One
mission-scope	constraint		The sim driver loads on every mission and no per-mission switch exists.	6.10 The extension model	**There is no per-mission sim driver switch, by choice.** Neither the operator
mission-scope	constraint		A mission that must run without an sim driver is a bug report rather than a configuration.	6.10 The extension model	**A mission that must run without a sim driver is a bug report, not a
mission-scope	behavior		Under Route B a mission's init.lua may call off on any registration it does not want.	6.10 The extension model	**Under Route B a mission can still decline the sim driver's behaviour**,
mission-adjacent	behavior		With mission_sim_driver_dirs enabled the loader reads a mission's umbilical.lua manifest and loads that mission's files.	6.10 The extension model	**A mission folder carries its own sim driver files.** The working convention
operator-eval	behavior		The hook polls the eval directories and executes dropped Lua files under an instruction budget.	7.3 Behaviour	The hook driver polls each existing subdirectory every `eval_poll_interval_ms`
operator-eval	constraint		Code comes from the filesystem and never from the wire.	7.1 Why the filesystem is the right authority	A network eval record is a different thing. It makes every consumer a potential
operator-eval	constraint		The eval feature is inert unless the operator creates the directory.	7.2 Layout	**The feature is inert unless the directory exists.** The installer creates
operator-eval	behavior		An input file is renamed to .running before executing, so a crasher never re-executes.	7.4 Rename before executing	**At hook driver load, sweep for `.running` files.** Log each one as a
lfs	dependency		ED's lfs is a VFS binding that adds writedir, locations and md5sum and drops several stock LFS members.	7.3 Behaviour	**Do not use an mtime threshold for step 1.** DCS does not ship LuaFileSystem.
lfs	dependency		lfs.dir enumerates write-directory paths from the hook state and clamps an escaping request to the Saved Games root.	7.3 Behaviour	**`lfs.dir` enforces a sandbox on this build, and the write directory is inside
os-rename	dependency		Lua 5.1 os.rename is C rename, which on Windows fails when the destination exists.	7.3 Behaviour	**It is not a general atomic replace.** Lua 5.1's `os.rename` is C `rename`,
instruction-budget	dependency		A count hook bounds eval execution and eval_instruction_budget must be a positive integer.	7.5 Bounding execution	**`eval_instruction_budget` must be a positive integer.** Lua 5.1's
instruction-budget	constraint		A count hook cannot interrupt a long-running C call and is a guardrail rather than a security boundary.	7.5 Bounding execution	- A count hook counts VM instructions. **It cannot interrupt a single
eval-audit	constraint		The result log and eval-audit.log are authoritative, and the EvalExecuted record is only a notification.	7.6 Audit	**The record is a notification, not the audit trail.** Section 11's first row
record-class	definition		Every message crossing into or out of Lua declares one of four record classes.	8.1 Record classes	Every message that crosses into or out of Lua declares a class. A class is
record-class	constraint		Every LIFECYCLE topic must carry last-value semantics.	8.1 Record classes	**Every `LIFECYCLE` topic must have last-value semantics.** The broker retains
schema	interface		The schema is proto3 with custom message options for class, target, capability and reply_to.	8.2 The schema	extend google.protobuf.MessageOptions {
schema	constraint		Adopters extend upward and the bridge owns the low numbers in every numbered space.	8.2 The schema	**Adopters extend upward; the bridge owns the low numbers.** The rule covers
schema	constraint		Topics are not numbered, so package naming partitions them instead of a range table.	8.2 The schema	**Topics are not in that table, because topics are not numbered.** A topic is
schema	constraint		Positions carry DCS-local coordinates on a stated axis convention and headings state their north.	8.2 The schema	- Pin the coordinate convention. **DCS is +x north, +z east, +y up.** State all
generator	definition		protoc-gen-dcsbridge-lua emits seven artefacts split by each message's target option.	8.3 What is generated	You write one generator: `protoc-gen-dcsbridge-lua`. It emits seven things,
generator	constraint		The generator must advertise FEATURE_PROTO3_OPTIONAL or protoc refuses to run it.	8.3 What is generated	**The plugin must advertise `FEATURE_PROTO3_OPTIONAL`.** The schema uses proto3
generator	constraint		Generated names are the schema's names verbatim, with no case conversion.	8.3 What is generated	**Generated names are the schema's names, verbatim.** The generator performs no
schema-hash	behavior		The generator embeds a schema hash in both generated files and the broker compares both against its own.	8.3 What is generated	embeds the run's schema hash in `HookDriver.gen.lua` and in the sim driver's
evolution	constraint		Field numbers are permanent and buf lint and buf breaking run in CI against the previous release.	8.4 Evolution	Field numbers are permanent. Never reuse one. Mark a removed number `reserved`.
request-reply	behavior		A consumer correlates a reply by request_id and times out at request_timeout_ms.	8.5.2 Request and reply	The consumer allocates an id, parks a slot in a pending map, sends the command,
request-reply	constraint		request_id must stay under 2^53 because it round-trips through a Lua double.	8.5.2 Request and reply	**`request_id` is `uint64` on the wire and must stay under 2^53.** The sim
idempotency	behavior		A mutating command carries an idempotency_key checked against a bounded recent-key set.	8.5.2 Request and reply	**`request_id` is the idempotency key for a request.** A read request is
command-ack	constraint		At most one point-to-point record answers a command; a rate-capped Rejected answers nothing.	8.5.3 The acknowledgement record	**At most one point-to-point record answers a command.** Which record depends
command-ack	constraint		A consumer that meets an unknown CommandAck outcome treats it as FAILED.	8.5.3 The acknowledgement record	**A consumer that meets an outcome it does not know treats it as `FAILED`.**
lifecycle-topics	definition		The bridge defines thirteen lifecycle topics.	9. Lifecycle	**Thirteen lifecycle topics.**
load-blackout	dependency		onSimulationFrame fires zero times during a mission load and only the load callbacks run.	9.1 The mission-load blackout	During a mission load, `onSimulationFrame` fires **zero** times. Only
load-blackout	behavior		MissionLoadBegan raises the liveness threshold for the load window and MissionLoaded lowers it.	9.1 The mission-load blackout	`MissionLoadBegan` is emitted from `onMissionLoadBegin`. It is a **correctness
pause	behavior		Pause state derives from polling DCS.getPause, because the callbacks are hints rather than truth.	9.2 Pause	Pause state is **derived from `DCS.getPause()`**, polled every
callback-hz	behavior		CallbackHz counts onSimulationFrame invocations against DCS.getRealTime and reports the render-loop rate.	9.3 `CallbackHz`	`CallbackHz` is computed by counting `onSimulationFrame` invocations against
epoch	definition		An epoch is one mission's lifetime on the wire and every unit handle is void across its boundary.	9.4 Epochs	The hook driver and the broker survive a mission reload. The sim driver and
epoch	dependency		The injected environment survives a mission reload, so the epoch rule is the sim driver's to enforce.	9.4 Epochs	The injected environment itself survives a mission reload (measured,
bridge-commands	definition		The bridge defines five commands and no bridge-defined command reaches the mission world API.	9.5 The bridge's own commands	The distinction is load-bearing, and it is exceptionless: **no bridge-defined
no-sim-driver-case	behavior		With no sim driver the broker pairs, hook lifecycle records and hook-handled commands still work.	9.5 The bridge's own commands	injection-failure row is the no-sim-driver case. With no sim driver, the
budget	constraint	UNVERIFIED	The budget is a share of a frame, split into steady state and burst, provisional until PROBE-3.	10. Budgets	**The budget is a share of a frame, not a fixed microsecond figure.** Section
budget	constraint		Route A costs about 2.4 times Route B for the same records, so one figure cannot cover both.	10. Budgets	**Route A and Route B do not cost the same.** Route A pays the
versions	definition		Six version numbers exist and the table names which are compared and which are diagnostic.	13.3 Versions	Six version numbers exist. Each row below states what it guards, who compares
versions	constraint		No compared version moves for a reason outside its own row.	13.3 Versions	`DCSBridge.state` changes. **None of the four moves for a reason outside its
versions	behavior		The hook publishes the DCS build in the handshake and in SimDriverLoaded.	13.3 Versions	**The DCS build is not a version of this software, and it is the one that will
failure-contract	constraint		The mission runs whether or not a consumer is connected.	11. Failure modes	The first row is the contract. **The mission runs whether or not a consumer is
kill-switch	behavior		The enabled key is the kill switch and the broker handles SetEnabled itself.	11. Failure modes	**Kill switch.** `enabled` in `Config\DCSBridge.lua`, applied like any live
kill-switch	constraint		The hook keeps calling shim.tick while disabled, so the heartbeat does not go stale.	11. Failure modes	**The hook driver keeps calling `shim.tick` while disabled.** It is the only
spool	behavior		The optional replay spool appends DURABLE records and replays from a consumer's acknowledged seq.	11. Failure modes	**Replay spool.** The broker may append `DURABLE` records to an on-disk spool.
layout	definition		The bridge tree has five parts, all under the write directory.	13. Layout and versions	- The tree has five parts: the loader under `Scripts\Hooks\`, everything the
layout	constraint		A release overwrites every bridge-owned file and adopter files live under the write directory's DCSBridge folder.	13. Layout and versions	- **The bridge tree holds shipped and generated files only, and holds no
hooks-glob	dependency		DCS globs Scripts Hooks star lua once at startup, across two trees on the measured install.	13. Layout and versions	- `Scripts\Hooks\` is a flat glob loaded at DCS startup. DCS globs `*.lua`,
config-defaults	constraint		Every limit has a name, a default and a basis, and a limit with no default is a defect.	13.1 Configuration defaults	- **A limit with no default is a defect.** If a future rule introduces a bound,
config-tiers	behavior		A configuration change costs live, mission reload or DCS restart depending on owner and read frequency.	13.2 Applying a configuration change	**No setting requires a rebuild.** Not one. What a change costs follows from
